Probes	Sample_A	Sample_B	Sample_C	Sample_D	Sample_E	Sample_F	Sample_G	Sample_H	Sample_I
1415722_a_at	7.940567951	7.966865165	8.049944524	8.155306515	8.13019622	7.978527366	8.246364238	8.135199053	8.118849172
1415723_at	9.877639735	10.0331141	9.971929342	9.925944821	9.888176059	9.763601639	9.40679595	9.386815376	9.571069804
1415724_a_at	10.01663674	10.07184748	10.40047924	10.33886048	10.35766229	10.48816057	9.811794124	9.695754835	9.853955554
1415725_at	7.087760761	7.272617065	7.244651113	7.20872051	6.949535474	7.099114867	7.18708745	6.807711503	7.003279226
1415726_at	8.347200121	8.378173903	8.536144959	8.399436678	8.497361314	8.528020231	8.712040009	8.699312789	8.5197782
1415727_at	8.082784242	8.111166157	8.229453197	8.163283772	8.335483166	8.343177128	7.915718299	7.735388022	7.577236664
1415728_at	9.222111961	9.02500166	8.563864243	8.495867836	8.761026514	8.652692648	7.969417681	8.331577619	8.15234077
1415729_at	8.761748912	8.683038228	8.786749933	8.697540302	8.796120298	8.82063149	8.211733768	8.946157805	9.081589635
1415730_at	9.133414313	9.133658895	8.802896568	8.791741626	8.712812678	8.701222499	8.808771738	8.730920779	9.104189313
1415731_at	8.131431683	8.178698257	8.262499985	8.134768912	8.016271784	8.165636078	7.66181347	7.802530644	7.791839059
1415732_at	8.263717386	8.164592403	7.969091742	8.147943016	8.200781281	7.955141697	8.340876297	8.306150583	8.092872736
1415733_a_at	8.602519384	8.624411192	8.592966352	8.588763086	8.525675193	8.476282362	8.700818068	8.932418382	9.058327732
1415734_at	9.604345891	9.508255541	9.870599417	9.871918831	9.7996676	9.756643355	9.64868352	9.809453749	9.68316814
1415735_at	9.059544927	9.049227231	9.134990685	9.157185108	9.247518775	9.174023858	9.251783026	9.300188755	9.260170359
1415736_at	9.687702292	9.79524122	9.976138286	9.984391234	9.73160557	9.743636708	9.328806554	9.150214217	9.090462927
1415737_at	8.745814416	8.506412229	8.67936856	8.561770637	8.625661187	8.606981794	7.508427261	7.938945749	8.17089688
1415738_at	7.831769355	7.883443718	7.904986143	7.93995224	7.962329582	7.906228158	8.144196075	8.287365052	8.116271191
1415739_at	8.010126468	8.331294183	8.43087929	8.492021967	8.370949674	8.456385514	8.595919361	8.656511862	8.77057441
1415740_at	8.3395925	8.269012621	8.430340317	8.491271372	8.689524402	8.574400395	8.602135585	8.790143355	8.651169915
1415741_at	8.3327006	8.245738259	8.573260648	8.487544498	8.661210288	8.536208174	8.709472745	9.119765193	8.990909001
1415742_at	8.7286311	8.785801281	8.84204732	8.812851659	8.757747342	8.716441294	8.560169535	8.631646265	8.520473555
1415743_at	7.501243497	7.591566842	7.618543653	7.557058494	7.530413135	7.567238091	6.756360662	7.146922276	7.771509095
1415744_at	9.263251855	9.204268557	8.972165769	9.345008167	9.137236204	9.17856512	9.548151073	9.47223684	9.233302143
1415745_a_at	7.844317788	8.006422977	7.707206529	7.771457647	7.704780901	7.871948559	8.229640479	8.090558285	8.042604184
1415746_at	9.599426022	9.521182242	9.518544618	9.366150772	9.392169618	9.424506164	8.99908131	9.203741159	9.214570586
1415747_s_at	8.284937952	8.286249914	8.382937312	8.28989267	8.558161207	8.601436356	8.440029092	8.552958049	8.729361761
1415748_a_at	8.962060701	8.833831337	8.954985335	8.855713651	8.814563155	8.7987639	8.451094877	8.658461085	8.752383055
1415749_a_at	8.148275596	8.120377314	8.325365338	8.300484283	8.287612649	8.447119891	8.585466058	8.58663888	8.715342218
1415750_at	7.186110142	7.463723913	7.398867079	7.484630117	7.266808071	7.348123239	7.798999057	7.496539271	7.372116743
1415751_at	9.268328764	9.403728724	9.608891532	9.456326373	9.427859457	9.536428907	9.041334793	9.056577554	9.282920734
