Probes	Sample_A	Sample_B	Sample_C	Sample_D	Sample_E	Sample_F	Sample_G	Sample_H	Sample_I
1415803_at	4.156684248	4.881820851	3.358118092	1.583048409	4.573205636	4.103532735	4.752553448	4.45609418	3.695802112
1415804_at	1.685710456	3.652466641	4.47390098	4.120074765	2.039968645	1.924963859	4.21006045	2.709996416	2.629176271
1415805_at	6.016793914	5.721648325	5.433021299	5.462887009	5.473654181	5.574823589	5.551369013	5.368481733	5.558519345
1415806_at	4.593055244	2.852921257	4.645632148	4.051122617	4.128768258	2.851500201	7.358689676	6.468440478	5.981604762
1415807_s_at	8.496243715	8.28288982	7.999349514	7.844946182	8.185211932	8.250110855	9.055857138	8.842150516	8.452982586
1415808_at	2.861809868	2.395797247	3.234360599	3.562980494	2.666188969	2.366040287	3.745486483	4.658404202	4.022077583
1415809_at	4.072632413	4.204511802	3.748352035	4.206808479	3.78218336	3.755838908	4.957569203	3.78780688	4.135583789
1415810_at	6.284778385	6.839331272	6.266678802	6.066496943	6.867245505	7.050534422	8.904107763	8.744254056	7.960735789
1415811_at	7.383168586	7.710114808	6.975575042	7.013930446	7.104484755	7.107168921	8.049146799	8.03560743	7.434224275
1415812_at	7.962754895	7.807545427	8.205693222	8.193889254	8.152293547	8.204678085	8.173174483	9.080311867	8.955153883
1415813_at	8.206612049	8.290149027	8.664661274	8.686191658	8.685044479	8.622866522	8.698763356	8.808415284	8.316847848
1415814_at	8.589288383	8.428736806	8.832111035	8.809287664	9.087870133	8.982547014	8.91860379	9.046056232	9.195512239
1415815_at	2.1653453	1.694606598	1.685286343	2.239498071	2.545750894	3.072696981	3.081612626	2.466008269	2.168807253
1415816_at	8.882615678	8.976470121	9.161025156	9.159902628	9.125182929	9.212875015	9.352667095	9.66462237	9.146240589
1415817_s_at	8.47550752	8.630235006	8.79849939	8.708610608	8.676511514	8.75813375	8.966213535	9.156439523	8.499467675
1415818_at	9.035406629	9.006278126	9.494344099	9.40581618	9.501350316	9.514046191	8.074542572	8.287593519	7.887071393
1415819_a_at	9.147731052	9.31531705	9.517752005	9.448261355	9.44520952	9.436358464	9.450255846	9.413444498	9.30207284
1415820_x_at	9.207824479	9.231697951	9.42999633	9.447775545	9.430571304	9.327255773	9.327425628	9.511627295	9.664108575
1415821_at	8.546013918	8.539013496	9.134583022	8.954223307	9.155239013	9.102760847	8.490589007	8.659064558	8.615147608
1415822_at	8.523568323	8.826521941	8.727892832	8.63064642	8.766910935	8.76678689	7.869430994	8.51981413	8.861272321
1415823_at	7.76235581	7.968754939	7.659438152	7.513944841	7.552461997	7.695628653	7.092077486	7.71969605	7.366676549
1415824_at	5.62001378	6.180298769	5.966906383	6.559416483	6.167508521	6.585638191	5.545606234	5.88929369	6.731889694
1415825_s_at	7.873520383	8.17845262	8.38257239	8.300132913	8.430569786	8.397159574	7.791999641	8.296999844	8.354050034
1415826_at	7.435534939	7.274493787	7.483585723	7.459855353	7.401834815	7.387479492	8.076806955	7.904158239	7.778141344
1415827_a_at	11.02188418	10.96099456	10.91265748	10.83986745	10.86335491	10.88693787	10.84786841	10.49557625	10.49820098
1415828_a_at	10.89812278	10.73150255	10.82422418	10.69774903	10.75100623	10.72926913	10.84535149	10.47994407	10.13981597
1415829_at	10.48717066	10.22636723	10.35941969	10.27545826	10.4495409	10.42377859	10.00022028	10.35615498	10.04417534
1415830_at	6.573539687	6.426944749	6.80163101	6.841486394	6.610519073	6.620488262	6.306727163	6.142714974	6.396473994
1415831_at	8.908945447	8.909107796	9.06322452	9.039114234	9.150513233	9.110179573	9.223874451	9.397107889	9.334710901
1415832_at	2.136579134	2.79746781	3.650135822	2.792707194	3.986760876	2.601691135	3.732996791	3.557006048	2.536100265
1415833_x_at	12.92007962	12.72636388	12.68549157	12.70806236	12.65524143	12.66054266	12.65349369	12.63970244	12.71316846
1415834_at	8.232142253	7.657584612	8.025048678	8.033017683	7.859776655	7.803596582	7.737814487	7.891851448	7.632108101
1415835_at	4.006616679	3.759505141	4.283525312	4.320758532	4.141047034	4.450576516	4.749053315	3.564975883	4.225081205
1415836_at	6.355042305	6.850402389	6.848558257	7.072054076	7.230335529	6.996906314	7.400559635	7.340878881	7.205956999
1415837_at	4.079668173	3.96377904	2.702636101	3.130818225	2.922955987	3.186633478	1.900366865	3.640838754	2.190919561
1415838_at	8.056647954	8.134854937	8.48741322	8.390851187	8.398498385	8.467009943	8.510957211	8.348682685	8.258566606
1415839_a_at	10.55388861	10.78109097	10.80074302	10.74624419	10.7039956	10.72136196	10.8712164	10.82713606	10.99732558
1415840_at	9.204285262	9.221627364	9.830647204	9.737034639	9.576147469	9.64627252	8.366704052	8.993621804	9.126062648
1415841_at	8.22298882	7.978588991	8.327383045	8.278703459	8.303901887	8.381396981	8.393455417	8.357117276	7.959651242
1415842_at	7.032929881	7.260549426	6.960950352	7.097816335	7.010046324	7.141921315	7.313770782	7.143410305	7.196324951
1415843_at	5.843500478	5.979489476	5.767097128	5.681253107	5.596327975	5.633068715	5.711579658	5.526888633	5.531583226
1415844_at	2.577887393	2.43031171	1.038472233	3.285603285	1.907583885	1.879591795	2.435626795	1.751191559	1.710349452
1415845_at	3.326320553	4.038110227	4.078902199	2.989009662	4.125404169	2.645733312	3.338331618	3.154362873	3.564315834
1415846_a_at	2.815652255	3.053603737	3.265994709	3.144190211	3.534910838	2.602570928	3.070567405	2.914665595	2.213044045
1415847_at	0.013852577	1.050993628	3.940294597	2.060887182	3.079646522	2.866577612	2.698853912	3.21192955	2.321069732
1415848_at	6.86317234	6.68251626	6.461754571	6.527583538	6.568752349	6.755749091	7.010506527	6.928035212	6.920829825
1415849_s_at	8.610304356	8.8682807	9.056139427	9.001759982	9.483838633	9.340558306	10.49828838	10.78414556	10.52470383
1415850_at	9.362712268	9.174039741	9.324535414	9.16682075	9.616695933	9.608098033	8.282080886	8.847960198	8.906471469
1415851_a_at	9.104773785	9.224000009	9.236075813	9.270087711	9.212621426	9.055948254	9.403220953	9.415903634	9.326267355
1415852_at	9.462618609	9.583457884	9.662487442	9.639298939	9.517355388	9.408661575	9.878867186	9.848131281	9.606264687
1415853_at	5.493231883	5.878740237	6.037980077	5.919136593	6.22429308	6.031605554	5.978802548	5.408263938	5.85681333
1415854_at	4.121894173	3.515847582	4.319538958	4.729038311	3.883002527	3.808624023	5.262652153	4.385087724	4.90857221
1415855_at	5.76881379	6.087756349	5.854243553	6.364337628	5.783448043	6.52927377	8.040411078	7.296626647	7.355148075
