filename	path	disease	disease name	platform	platform name	data level
BRCA.MDA_RPPA_Core.Level_3.tsv	BRCA/Level_3	BRCA	Breast invasive carcinoma	MDA_RPPA_Core	M.D. Anderson Reverse Phase Protein Array Core	Level_3
ACC.IlluminaHiSeq_miRNASeq.Level_3.Expression-miRNA.readsPerMillionMapped.tsv	ACC/Level_3	ACC	Adrenocortical carcinoma	IlluminaHiSeq_miRNASeq	Illumina HiSeq 2000 miRNA Sequencing	Level_3
BRCA.IlluminaHiSeq_RNASeq.Level_3.Expression-Gene.RPKM.tsv	BRCA/Level_3	BRCA	Breast invasive carcinoma	IlluminaHiSeq_RNASeq	Illumina HiSeq 2000 RNA Sequencing	Level_3
