Hybridization REF	TCGA-DJ-A1QE-01A-21R-A14Y-07	TCGA-DJ-A1QL-01A-11R-A14Y-07	TCGA-DO-A1JZ-11A-11R-A13Y-07	TCGA-EM-A1YB-01A-11R-A14Y-07
DLST|1743	83.4856544234095	66.6927780959372	87.7196181602717	155.321431039627
DLX1|1745	0.13768983348105	0.16110636727233	0.0688732317255563	0.0318398684238919
DLX2|1746	0.0208567884731154	0.0360752498768525	0.0136427396926135	0
DLX3|1747	3.03870158046072	8.69886724936672	0.678931227963522	0.0984278009333042
DLX4|1748	0.240274355030009	2.22252475478139	0.109333618801225	0.0273783099679289
DLX5|1749	0.571796482342859	0.152156333293249	0.134263840015145	0.345817075453577
DLX6AS|285987	0.388418667510209	1.11272513081041	0.730452700848186	0.445353842144976
DLX6|1750	0	0.120623469507276	0.0130333487515699	0.10443808693517
DMAP1|55929	15.0751317120321	34.6032703629379	22.0627512080958	16.0934683866026
DMBT1|1755	0.0368200217473178	0.0382117741679496	0.00481690623484557	0.0241240989605977
DMBX1|127343	1.7608206452714	0.299219714525666	0.270769174193582	0.161918813799247
DMC1|11144	0.70274955243877	1.47493104650812	1.14359184276383	0.539044996256167
DMD|1756	6.2409912968114	4.97015771852745	3.39310252144698	1.3503671819743
DMGDH|29958	0.169873247019131	0.609412225352697	1.42805473943572	4.60036699775638
DMKN|93099	45.1062924178514	148.487852277997	75.688166795917	42.4379112805245
DMP1|1758	0.0935937637851267	0	0	0
DMPK|1760	3.2684225922563	24.6298282638548	9.31031627985252	2.08048510199113
DMRT1|1761	0.232540123312033	0.456360952358193	0.12285646112664	0.609431573461547
DMRT2|10655	0.0218218294399717	0.0440351883178824	0.00475799584469254	0.152506003832768
DMRT3|58524	3.48036197871227	12.2163572734021	1.11690248885963	8.63943631276433
DMRTA1|63951	1.44945166583245	2.09145555954169	1.75932373633349	0.436744699670845
DMRTA2|63950	0	0.0311321885705924	0.00784893329322852	0
DMRTB1|63948	0.0187131437218146	0.032367463313736	0.257051536389771	0
DMRTC1B|728656	0.493809479854711	5.16745506728873	1.44277006470676	0.172554071679788
DMRTC1|63947	0.296285687912827	4.78309890525899	1.45353700548815	0.172554071679788
DMRTC2|63946	0.00905275623477942	0.015658232506163	0	0
DMTF1|9988	6.63022859756391	11.6904122447084	8.1074084281397	2.69508872117056
DMWD|1762	7.56105353482456	7.95185877903378	9.38979810148071	3.9776035236425
DMXL1|1657	17.3270886871989	10.4633494191923	26.9054625209618	7.7156903135584
DMXL2|23312	3.41277863612379	1.91698823492002	1.92692466264269	1.49869883074074
DNA2|1763	0.513924092540055	0.639220738271012	0.226628423437491	0.499401638521794
DNAH10|196385	0.168697289457275	0.218842304457499	0.700281828421848	0.37409722740178
DNAH11|8701	0.481664950122733	0.544898876201483	0.987146642827528	0.088989155799338
DNAH12|201625	0.0233343276443987	0.0605408427259864	0.12719446171568	0.0101922740682699
DNAH14|127602	2.78768680625442	3.77859338904795	2.50142399069063	0.99518854310063
DNAH17|8632	0.367615817280623	1.47776734904263	0.578892519997713	0.223016756129447
DNAH1|25981	1.2788879004313	1.95630000245612	1.41684227016043	1.09708883412597
DNAH2|146754	0.392922390747743	0.321192151222574	0.62669766444992	0.0705311514709239
DNAH3|55567	0.0303516607080591	0.0623416063282265	0	0.0149145715793821
DNAH5|1767	0.995544953274367	0.290684383594633	0.559069633383069	1.99666173577376
DNAH6|1768	1.42606408350146	3.49932094920652	4.73710143925227	0.0225142770463276
DNAH7|56171	0.585056984453814	1.20522226496301	1.9233277537339	0.480388010138087
DNAH8|1769	0.125498842845988	0.20430203571136	0.265587509055314	0
DNAH9|1770	0.238133227399908	1.01991964793242	1.32030680498982	0.0148592797665149
DNAI1|27019	0.0632729877260646	0	0.106425809790554	0.106600653704915
DNAI2|64446	0	0.146336539922462	0.116215571336011	0.0221726663941311
DNAJA1|3301	95.591154983334	55.0870723489477	73.3236267406406	41.9312103691609
DNAJA2|10294	17.6818201158196	20.9615268502395	23.3276677897945	24.7386876185048
DNAJA3|9093	16.6265708605053	14.9761128815179	14.4338696793958	25.494418001074
DNAJA4|55466	2.87610856556818	6.49060005947615	11.3322442775287	5.28116329759085
DNAJB11|51726	23.0933552300714	55.6525844862415	59.1629085842177	18.8351331846224
DNAJB12|54788	17.4045391108929	18.1574447011004	14.4630523817141	10.9160174636484
DNAJB13|374407	0.0475812867700006	0.106989571068111	0.0933709104562464	0.0249398151601187
DNAJB14|79982	7.43996733849266	3.77666859717403	7.62997423643094	2.88236623723272
DNAJB1|3337	55.7799338607418	34.0142178387749	48.6378737577652	17.8599444574614
DNAJB2|3300	47.8007909367227	77.2417561794181	58.2447078560167	29.0431271399827
DNAJB3|414061	0	0	0	0
DNAJB4|11080	8.90433455539555	10.3715389483094	15.8573433262832	10.8924342954425
DNAJB5|25822	7.59503453388049	8.9059295230557	8.12144060273407	2.06523499340012
DNAJB6|10049	29.8996953841068	30.4093253724505	34.7544970303666	23.6202959138524
DNAJB7|150353	0.166110000360747	0.281328876003379	0.135818818545743	0.154180878244527
DNAJB8|165721	0	0	0	0
DNAJB9|4189	16.0218092893291	19.1799710811157	30.3622825650637	13.9832841748135
DNAJC10|54431	20.9749727959694	16.1267508721195	24.1666540836254	11.5204637463045
DNAJC11|55735	9.98825233997378	10.7066613710781	10.6283596153389	11.4330375114531
DNAJC12|56521	0.302725252653447	0.49281239552331	0.0465922706867497	0.0466688157936353
DNAJC13|23317	28.7113328573643	23.2170761178171	24.7250626766731	17.8020779308602
DNAJC14|85406	16.6715593273575	20.2029637236131	20.5923872053639	11.5385205724146
DNAJC15|29103	6.24376573795092	10.965428817869	11.7131666859958	4.58912250663
DNAJC16|23341	6.22183416686681	5.06390884022739	7.34587434500022	3.50022508522889
DNAJC17|55192	10.0379126574586	18.7805933113745	8.94416805588629	6.65441496693366
DNAJC18|202052	2.95417014726075	2.36856983730837	3.56280205894416	2.17748458030642
DNAJC19|131118	11.3065720278063	14.4054155131446	12.0424187257514	15.4916527062605
DNAJC1|64215	12.4934417212114	18.7958832920408	14.7043826910947	17.1622376997645
DNAJC21|134218	11.8372147477357	7.89686296734404	9.76550258522675	8.26686127079998
DNAJC22|79962	8.30086578976641	8.37906061040666	9.27506930558728	3.88555091262719
DNAJC24|120526	3.60458026947632	3.73975595617944	4.35038317146628	2.66654838725191
